"kingdom","phylum","class","order","family","sub_family","genus","iucn_threat_status","common_name_description","Sampling.Point","value","Species"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x030724_att20_mzb5",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x030724_att20_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att21_mzb7",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att22_mzb1",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att22_mzb2",18,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att23_mzb3",51,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att23_mzb4",5,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech, longitudinal eyes (small, fat, white / yellow)","x010724_att24_mzb5",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x050724_att01_mzb2",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x050724_att02_mzb4",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x050724_att04_mzb8",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x040724_att06_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att09_mzb9",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att09_mzb10",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att10_mzb11",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att10_mzb12",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att13_mzb1",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x100724_att13_mzb2",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x030724_att18_mzb2",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x030724_att19_mzb3",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x030724_att19_mzb4",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x030724_att20_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att21_mzb7",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att22_mzb1",3,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att22_mzb2",7,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att23_mzb3",2,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att24_mzb5",4,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Glossiphoniidae",NA,NA,1,"leech,longitudinal eyes (stripey with nodules)","x010724_att24_mzb6",1,"Glossiphoniidae"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x050724_att01_mzb2",1,"Piscicola geometra"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x050724_att04_mzb8",1,"Piscicola geometra"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x100724_att09_mzb10",1,"Piscicola geometra"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x030724_att20_mzb5",3,"Piscicola geometra"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x010724_att22_mzb2",2,"Piscicola geometra"
"Animalia","Annelida","Clitellata","Rhynchobdellida","Piscicolidae",NA,"Piscicola",1,"fish leech","x010724_att23_mzb4",1,"Piscicola geometra"
"Animalia","Arthropoda","Arachnida","Araneae","Cybaeidae",NA,"Argyroneta",1,"water spider","x020724_att17_mzb6",1,"Argyroneta aquatica"
"Animalia","Arthropoda","Arachnida","Araneae","Cybaeidae",NA,"Argyroneta",1,"water spider","x030724_att19_mzb3",1,"Argyroneta aquatica"
"Animalia","Arthropoda","Arachnida","Araneae","Cybaeidae",NA,"Argyroneta",1,"water spider","x030724_att20_mzb5",1,"Argyroneta aquatica"
"Animalia","Arthropoda","Arachnida","Acari","Hydrachnidia",NA,NA,1,"mite 1 red","x050724_att08_mzb10",1,"Hydrachnidia"
"Animalia","Arthropoda","Arachnida","Acari","Hydrachnidia",NA,NA,1,"mite 1 red","x030724_att20_mzb5",1,"Hydrachnidia"
"Animalia","Arthropoda","Arachnida","Acari","Hydrachnidia",NA,NA,1,"mite 2 blue","x040724_att05_mzb4",2,"Hydrachnidia"
"Animalia","Arthropoda","Arachnida","Acari","Hydrachnidia",NA,NA,1,"mite 3, white, red legs","x010724_att23_mzb4",1,"Hydrachnidia"
"Animalia","Arthropoda","Arachnida","Acari","Halacaridae",NA,NA,1,"mite (hairy legs, thicker front legs)","x010724_att22_mzb2",2,"Halacaridae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att01_mzb1",8,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att01_mzb2",100,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att03_mzb5",10,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att03_mzb6",400,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att05_mzb3",450,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att05_mzb4",180,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att06_mzb5",600,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att06_mzb6",200,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att07_mzb1",80,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x040724_att07_mzb2",4,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att08_mzb9",600,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x050724_att08_mzb10",80,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x100724_att09_mzb9",22,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x100724_att09_mzb10",1,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x100724_att10_mzb11",16,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x100724_att10_mzb12",39,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x100724_att12_mzb3",1,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x020724_att16_mzb3",8,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x020724_att16_mzb4",4,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x020724_att17_mzb5",2,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x030724_att19_mzb3",1,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att21_mzb7",21,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att21_mzb8",45,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att22_mzb1",75,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att22_mzb2",800,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att23_mzb3",1000,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att23_mzb4",6000,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att24_mzb5",150,"Daphniidae"
"Animalia","Arthropoda","Branchiopoda","Diplostraca","Daphniidae",NA,NA,1,"water flea","x010724_att24_mzb6",250,"Daphniidae"
"Animalia","Arthropoda","Collembola","Entomobryomorpha","Isotomidae",NA,NA,1,"springtail","x100724_att10_mzb12",1,"Isotomidae"
